JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar,
ALBA ,4997,313,860,1570,994,49,853,358,4997
ARAD,2829,744,379,809,391,27,284,195,2829
ARGES,8197,428,2299,2833,987,91,1277,282,8197
BACAU,6208,532,1143,2467,755,42,1042,227,6208
BIHOR,4703,604,1400,1255,628,54,443,319,4703
BISTRITA,4564,306,612,1656,1000,50,753,187,4564
BOTOSANI,4585,143,924,2163,547,33,687,88,4585
BRAILA,4252,581,1044,1687,312,62,446,120,4252
BRASOV,6395,704,1722,2593,550,45,467,314,6395
BUZAU,7350,790,1798,2728,769,53,1101,111,7350
CALARASI,4103,504,1130,1476,477,39,417,60,4103
CARAS,2883,291,490,881,635,42,381,163,2883
CLUJ,4864,850,859,1234,685,101,710,425,4864
CONSTANTA,4731,774,842,1314,912,48,556,285,4731
COVASNA,3103,488,1327,687,296,26,234,45,3103
DAMBOVITA,5151,412,1288,1803,798,51,644,155,5151
DOLJ,18380,1355,5404,6783,2425,92,2000,321,18380
GALATI,8414,1053,1986,3349,727,46,987,266,8414
GIURGIU,2070,247,404,862,332,17,163,45,2070
GORJ,4086,0,571,1319,941,59,964,232,4086
HARGHITA,5571,1154,1715,1340,650,51,521,140,5571
HUNEDOARA,7513,567,1066,2047,1998,134,1126,575,7513
IALOMITA,4095,410,996,1661,377,32,579,40,4095
IASI,9731,536,2271,3459,711,59,2391,304,9731
ILFOV,1003,105,241,321,140,3,100,103,1013
MARAMURES,4361,301,991,1205,737,85,766,276,4361
MEHEDINTI,6663,638,1187,2873,1072,45,734,114,6663
MUN. BUC.,10510,17,66,1779,3442,233,1969,3004,10510
MURES,7428,1024,2951,1969,593,59,651,181,7428
NEAMT,8330,627,1504,3072,936,73,1883,235,8330
OLT,7415,645,888,3153,1221,79,1304,125,7415
PRAHOVA,6644,513,1229,2023,1044,90,1420,325,6644
SALAJ,5140,670,1651,1513,528,36,621,121,5140
SATU M.,5789,986,2305,1686,338,22,361,91,5789
SIBIU,4937,539,1956,1182,434,35,555,236,4937
SUCEAVA,11859,961,2850,4445,1385,94,1826,298,11859
TELEORMAN,9572,930,1240,5328,991,40,940,103,9572
TIMIS,2910,472,266,700,589,46,409,428,2910
TULCEA,2477,0,354,1235,438,0,382,68,2477
VALCEA,3585,69,278,929,1031,82,918,278,3585
VASLUI,9383,428,2095,4392,946,41,1397,84,9383
VRANCEA,2743,151,761,1044,379,40,295,73,2743
Total general,249534,22862,55343,86825,35141,2406,35557,11400,249534
