JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,997     "," 2,440     "," 2,557     "," 1,929     "," 3,068     ", 3.17     , 3.43     , 2.95     ,
ARAD," 2,829     "," 1,453     "," 1,376     ", 986     ," 1,843     ", 1.46     , 1.75     , 1.24     ,
ARGES," 8,197     "," 3,843     "," 4,354     "," 1,727     "," 6,470     ", 3.51     , 3.55     , 3.47     ,
BACAU," 6,208     "," 2,647     "," 3,561     "," 1,459     "," 4,749     ", 3.27     , 3.28     , 3.26     ,
BIHOR," 4,703     "," 2,478     "," 2,225     "," 1,586     "," 3,117     ", 1.98     , 2.37     , 1.67     ,
BISTRITA NASAUD," 4,564     "," 2,183     "," 2,381     "," 2,150     "," 2,414     ", 3.94     , 4.44     , 3.58     ,
BOTOSANI," 4,585     "," 2,044     "," 2,541     ", 719     ," 3,866     ", 4.11     , 4.01     , 4.19     ,
BRAILA," 4,252     "," 1,800     "," 2,452     ", 622     ," 3,630     ", 3.86     , 3.56     , 4.12     ,
BRASOV," 6,395     "," 2,929     "," 3,466     ", 979     ," 5,416     ", 2.46     , 2.57     , 2.38     ,
BUZAU," 7,350     "," 3,130     "," 4,220     "," 1,143     "," 6,207     ", 5.06     , 4.98     , 5.11     ,
CALARASI," 4,103     "," 1,916     "," 2,187     ", 430     ," 3,673     ", 5.38     , 5.55     , 5.23     ,
CARA?-SEVERIN," 2,883     "," 1,337     "," 1,546     "," 1,055     "," 1,828     ", 3.09     , 3.37     , 2.89     ,
CLUJ," 4,864     "," 2,457     "," 2,407     "," 1,417     "," 3,447     ", 1.35     , 1.53     , 1.20     ,
CONSTANTA," 4,731     "," 2,763     "," 1,968     "," 1,683     "," 3,048     ", 1.69     , 2.29     , 1.24     ,
COVASNA," 3,103     "," 1,443     "," 1,660     ", 514     ," 2,589     ", 3.86     , 4.02     , 3.74     ,
DAMBOVITA," 5,151     "," 2,569     "," 2,582     "," 1,226     "," 3,925     ", 3.02     , 3.68     , 2.57     ,
DOLJ," 18,380     "," 8,311     "," 10,069     "," 1,852     "," 16,528     ", 7.96     , 8.18     , 7.79     ,
GALATI," 8,414     "," 3,561     "," 4,853     "," 1,026     "," 7,388     ", 5.00     , 4.70     , 5.25     ,
GIURGIU," 2,070     "," 1,060     "," 1,010     ", 360     ," 1,710     ", 3.11     , 3.64     , 2.69     ,
GORJ," 4,086     "," 2,100     "," 1,986     "," 1,141     "," 2,945     ", 3.34     , 3.79     , 2.97     ,
HARGHITA," 5,571     "," 2,642     "," 2,929     "," 1,131     "," 4,440     ", 4.52     , 5.08     , 4.11     ,
