JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,918     "," 2,427     "," 2,491     "," 1,814     "," 3,104     ", 3.12     , 3.41     , 2.88     ,
ARAD," 2,980     "," 1,541     "," 1,439     "," 1,001     "," 1,979     ", 1.53     , 1.85     , 1.29     ,
ARGES," 8,140     "," 3,799     "," 4,341     "," 1,689     "," 6,451     ", 3.49     , 3.51     , 3.46     ,
BACAU," 5,726     "," 2,476     "," 3,250     "," 1,344     "," 4,382     ", 3.02     , 3.07     , 2.98     ,
BIHOR," 4,682     "," 2,393     "," 2,289     "," 1,451     "," 3,231     ", 1.97     , 2.29     , 1.72     ,
BISTRITA NASAUD," 4,331     "," 2,103     "," 2,228     "," 1,848     "," 2,483     ", 3.74     , 4.27     , 3.35     ,
BOTOSANI," 4,281     "," 1,934     "," 2,347     ", 678     ," 3,603     ", 3.84     , 3.79     , 3.87     ,
BRAILA," 4,502     "," 1,910     "," 2,592     ", 682     ," 3,820     ", 4.09     , 3.77     , 4.36     ,
BRASOV," 6,409     "," 2,901     "," 3,508     ", 875     ," 5,534     ", 2.47     , 2.55     , 2.41     ,
BUZAU," 7,083     "," 3,046     "," 4,037     "," 1,158     "," 5,925     ", 4.87     , 4.85     , 4.89     ,
CALARASI," 4,187     "," 1,913     "," 2,274     ", 427     ," 3,760     ", 5.49     , 5.54     , 5.44     ,
CARA?-SEVERIN," 2,845     "," 1,291     "," 1,554     ", 994     ," 1,851     ", 3.05     , 3.25     , 2.90     ,
CLUJ," 4,850     "," 2,458     "," 2,392     "," 1,320     "," 3,530     ", 1.34     , 1.53     , 1.19     ,
CONSTANTA," 4,115     "," 2,215     "," 1,900     "," 1,132     "," 2,983     ", 1.47     , 1.84     , 1.19     ,
COVASNA," 3,417     "," 1,542     "," 1,875     ", 497     ," 2,920     ", 4.26     , 4.30     , 4.22     ,
DAMBOVITA," 5,096     "," 2,503     "," 2,593     "," 1,201     "," 3,895     ", 2.99     , 3.59     , 2.58     ,
DOLJ," 18,659     "," 8,439     "," 10,220     "," 1,759     "," 16,900     ", 8.08     , 8.31     , 7.91     ,
GALATI," 9,367     "," 3,923     "," 5,444     ", 979     ," 8,388     ", 5.57     , 5.18     , 5.89     ,
GIURGIU," 1,774     ", 879     , 895     , 384     ," 1,390     ", 2.66     , 3.02     , 2.39     ,
GORJ," 3,986     "," 2,030     "," 1,956     "," 1,116     "," 2,870     ", 3.26     , 3.66     , 2.92     ,
