judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5085,316,298,1022,1330,1045,1074
ARAD,3083,242,129,516,831,690,675
ARGES,8138,481,472,1600,2155,1594,1836
BACAU,5407,312,210,785,1422,1194,1484
BIHOR,4697,316,304,987,1251,800,1039
BISTRITA NASAUD,4364,374,231,661,1066,774,1258
BOTOSANI,4642,361,178,810,1251,1014,1028
BRAILA,4667,353,208,760,1221,804,1321
BRASOV,6499,693,470,1564,1618,1061,1093
BUZAU,7042,330,223,920,1787,1768,2014
CALARASI,4293,613,201,861,1120,698,800
CARAS-SEVERIN,2852,165,159,451,714,608,755
CLUJ,4714,412,296,930,1183,900,993
CONSTANTA,4254,243,174,753,1107,674,1303
COVASNA,3565,697,240,753,845,535,495
DAMBOVITA,5250,382,255,999,1356,1090,1168
DOLJ,18919,1626,1193,3639,4786,3691,3984
GALATI,9356,515,401,1419,2639,1807,2575
GIURGIU,1861,239,85,342,495,335,365
GORJ,4302,380,169,647,1014,1006,1086
HARGHITA,5516,775,411,1204,1367,845,914
HUNEDOARA,7372,729,532,1312,1752,1589,1458
IALOMITA,4361,391,210,794,1118,729,1119
IASI,9970,640,452,1720,2837,1674,2647
ILFOV,921,39,44,188,246,187,217
MARAMURES,4069,356,215,954,1117,725,702
MEHEDINTI,6674,298,270,964,1809,1485,1848
MUNICIPIUL BUCURESTI,9985,237,688,2384,2516,2345,1815
MURES,6731,895,487,1497,1717,876,1259
NEAMT,7927,425,364,1342,2171,1729,1896
OLT,7368,528,612,1114,1737,1627,1750
PRAHOVA,6397,527,261,1104,1742,1425,1338
SALAJ,5027,633,358,1165,1255,798,818
SATU-MARE,5897,739,428,1347,1637,883,863
SIBIU,5190,517,421,1275,1317,687,973
SUCEAVA,11982,1280,794,2512,3175,1752,2469
TELEORMAN,9931,646,514,1772,2524,1989,2486
TIMIS,3285,456,132,578,809,529,781
TULCEA,2503,134,248,483,518,561,559
VALCEA,2500,131,125,398,624,654,568
VASLUI ,9744,277,291,1441,2820,2443,2472
VRANCEA,2427,177,109,450,559,548,584
TOTAL,248767,19880,13862,46417,64558,48168,55882
