JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5060,2493,2567,1637,896,741,3423,1597,1826,
 ARAD,3035,1532,1503,1027,560,467,2008,972,1036,
 ARGES,8096,3805,4291,1111,687,424,6985,3118,3867,
 BACAU,5047,2266,2781,1493,752,741,3554,1514,2040,
 BIHOR,4914,2496,2418,1270,782,488,3644,1714,1930,
 BISTRITA-NASAUD,4127,2035,2092,1262,684,578,2865,1351,1514,
 BOTOSANI,4569,2136,2433,1339,782,557,3230,1354,1876,
 BRAILA,4775,2064,2711,1109,631,478,3666,1433,2233,
 BRASOV,6366,2884,3482,1578,871,707,4788,2013,2775,
 BUZAU,7070,3069,4001,1205,667,538,5865,2402,3463,
 CALARASI,4277,1955,2322,1066,582,484,3211,1373,1838,
 CARAS-SEVERIN,2791,1251,1540,1158,565,593,1633,686,947,
 CLUJ,4596,2342,2254,1757,1099,658,2839,1243,1596,
 CONSTANTA,4222,2219,2003,1615,989,626,2607,1230,1377,
 COVASNA,3689,1709,1980,1109,623,486,2580,1086,1494,
 DAMBOVITA,5168,2543,2625,847,488,359,4321,2055,2266,
 DOLJ,18707,8554,10153,2463,1360,1103,16244,7194,9050,
 GALATI,9118,3803,5315,1290,703,587,7828,3100,4728,
 GIURGIU,1835,944,891,309,192,117,1526,752,774,
 GORJ,4207,2123,2084,1245,758,487,2962,1365,1597,
 HARGHITA,5561,2700,2861,1661,909,752,3900,1791,2109,
 HUNEDOARA,7263,4063,3200,4713,2723,1990,2550,1340,1210,
 IALOMITA,4399,2125,2274,1101,603,498,3298,1522,1776,
 IASI,9767,4332,5435,1200,626,574,8567,3706,4861,
 ILFOV,897,571,326,203,130,73,694,441,253,
 MARAMURES,4293,2198,2095,1881,1040,841,2412,1158,1254,
 MEHEDINTI,6544,2817,3727,1068,559,509,5476,2258,3218,
 MURES,6079,2843,3236,1674,899,775,4405,1944,2461,
 NEAMT,8123,3480,4643,1259,676,583,6864,2804,4060,
 OLT,7358,3273,4085,1182,738,444,6176,2535,3641,
 PRAHOVA,6140,3114,3026,1753,1028,725,4387,2086,2301,
 SALAJ,5005,2170,2835,755,419,336,4250,1751,2499,
 SATU MARE,5832,2792,3040,1138,638,500,4694,2154,2540,
 SIBIU,5058,2430,2628,1372,762,610,3686,1668,2018,
 SUCEAVA,12133,5267,6866,2902,1430,1472,9231,3837,5394,
 TELEORMAN,9547,3953,5594,1562,779,783,7985,3174,4811,
 TIMIS,3468,1926,1542,1479,864,615,1989,1062,927,
 TULCEA,2476,1218,1258,589,327,262,1887,891,996,
 VALCEA,2777,1503,1274,1211,689,522,1566,814,752,
 VASLUI,9738,4121,5617,1305,713,592,8433,3408,5025,
 VRANCEA,2424,1187,1237,456,251,205,1968,936,1032,
BUCURESTI,9831,5590,4241,9831,5590,4241,0,0,0,
Total TARA ,246382,115896,130486,66185,37064,29121,180197,78832,101365,
