JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5246,396,959,1593,1035,49,908,306
ARAD,3087,792,399,861,476,36,307,216
ARGES,8141,410,2279,2710,1067,99,1259,317
BACAU,4854,467,828,1784,676,38,837,224
BIHOR,4934,654,1464,1162,801,58,487,308
BISTRITA,4248,345,670,1330,1000,49,622,232
BOTOSANI,4944,153,903,2132,762,58,787,149
BRAILA,5011,661,1182,1916,462,75,567,148
BRASOV,6383,742,1922,2400,576,43,418,282
BUZAU,7106,2248,169,2519,904,49,1096,121
CALARASI,4393,495,1531,1456,474,18,360,59
CARAS,2945,301,471,839,750,40,372,172
CLUJ,4738,848,873,1146,703,80,678,410
CONSTANTA,4418,709,1007,1174,736,50,458,284
COVASNA,3749,545,1565,739,465,37,326,72
DAMBOVITA,5238,433,1379,1732,895,45,617,137
DOLJ,19357,1427,5465,7081,2791,115,2094,384
GALATI,9139,1112,2106,3668,884,47,1104,218
GIURGIU,1883,199,357,740,390,14,138,45
GORJ,4445,289,312,1336,1154,85,1015,254
HARGHITA,5735,1120,1665,1352,826,43,600,129
HUNEDOARA,7214,547,1038,1908,1941,131,1062,587
IALOMITA,4497,476,1042,1796,488,29,607,59
IASI,9619,526,2102,3389,808,77,2373,344
ILFOV,872,84,204,237,157,6,99,85
MARAMURES,4218,272,824,1056,980,74,753,259
MEHEDINTI,6662,656,1178,2897,1083,55,693,100
MUN. BUC.,9830,9,42,1485,3728,224,1798,2544
MURES,5985,773,2053,1496,724,78,636,225
NEAMT,8311,615,1535,3072,966,71,1820,232
OLT,7561,694,904,3128,1303,78,1292,162
PRAHOVA,6282,411,1113,1817,1124,82,1368,367
SALAJ,5116,713,1705,1497,486,24,545,146
SATU M.,5815,1002,2256,1716,369,25,360,87
SIBIU,5057,519,2019,1156,488,30,577,268
SUCEAVA,12412,953,3057,4516,1568,101,1824,393
TELEORMAN,9389,1002,1176,5062,1087,51,896,115
TIMIS,3434,545,333,726,847,42,441,500
TULCEA,2528,0,358,1170,534,0,383,83
VALCEA,3167,31,232,688,1094,65,780,277
VASLUI,9901,440,2129,4648,1025,42,1537,80
VRANCEA,2441,121,628,875,424,34,273,86
Total general,250305,24735,53434,84005,39051,2447,35167,11466
