JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
 ALBA,5327,2579,2748,1699,906,793,3628,1673,1955
 ARAD,3100,1575,1525,1034,562,472,2066,1013,1053
 ARGES,8300,3855,4445,1174,717,457,7126,3138,3988
 BACAU,4428,2034,2394,1402,715,687,3026,1319,1707
 BIHOR,5145,2595,2550,1389,850,539,3756,1745,2011
 BISTRITA-NASAUD,4310,2188,2122,1322,724,598,2988,1464,1524
 BOTOSANI,4938,2288,2650,1362,796,566,3576,1492,2084
 BRAILA,5066,2267,2799,1274,791,483,3792,1476,2316
 BRASOV,6475,2877,3598,1609,858,751,4866,2019,2847
 BUZAU,7167,3189,3978,1278,733,545,5889,2456,3433
 CALARASI,4566,2252,2314,1106,626,480,3460,1626,1834
 CARAS-SEVERIN,3053,1403,1650,1260,627,633,1793,776,1017
 CLUJ,4905,2462,2443,1849,1138,711,3056,1324,1732
 CONSTANTA,5060,2920,2140,2029,1357,672,3031,1563,1468
 COVASNA,3877,1790,2087,1103,610,493,2774,1180,1594
 DAMBOVITA,5765,2733,3032,845,462,383,4920,2271,2649
 DOLJ,19797,9021,10776,2657,1439,1218,17140,7582,9558
 GALATI,9265,3832,5433,1313,739,574,7952,3093,4859
 GIURGIU,1934,960,974,364,207,157,1570,753,817
 GORJ,4636,2399,2237,1411,880,531,3225,1519,1706
 HARGHITA,6076,2980,3096,1815,1003,812,4261,1977,2284
 HUNEDOARA,6962,3825,3137,4629,2616,2013,2333,1209,1124
 IALOMITA,4592,2198,2394,1137,602,535,3455,1596,1859
 IASI,9719,4321,5398,1349,718,631,8370,3603,4767
 ILFOV,830,521,309,194,126,68,636,395,241
 MARAMURES,4163,2118,2045,1862,1002,860,2301,1116,1185
 MEHEDINTI,7011,3027,3984,1142,611,531,5869,2416,3453
 MURES,6008,2829,3179,1784,950,834,4224,1879,2345
 NEAMT,8500,3638,4862,1327,737,590,7173,2901,4272
 OLT,7624,3367,4257,1409,788,621,6215,2579,3636
 PRAHOVA,6517,3321,3196,1968,1156,812,4549,2165,2384
 SALAJ,5384,2322,3062,807,445,362,4577,1877,2700
 SATU MARE,6083,2897,3186,1211,672,539,4872,2225,2647
 SIBIU,5199,2467,2732,1432,779,653,3767,1688,2079
 SUCEAVA,12657,5522,7135,3021,1478,1543,9636,4044,5592
 TELEORMAN,9467,3893,5574,1721,829,892,7746,3064,4682
 TIMIS,3535,1946,1589,1454,853,601,2081,1093,988
 TULCEA,2610,1282,1328,646,360,286,1964,922,1042
 VALCEA,3483,1797,1686,1335,720,615,2148,1077,1071
 VASLUI,9899,4188,5711,1356,735,621,8543,3453,5090
 VRANCEA,2410,1188,1222,484,259,225,1926,929,997
BUCURESTI,9501,5431,4070,9501,5431,4070,0,0,0
Total TARA ,255344,120297,135047,69064,38607,30457,186280,81690,104590
