JUDET ;NUMAR TOTAL SOMERI ;NUMAR TOTAL SOMERI FEMEI  ;NUMAR TOTAL SOMERI BARBATI ;NUMAR TOTAL SOMERI DIN MEDIUL URBAN ;NUMAR SOMERI FEMEI DIN MEDIUL URBAN ;NUMAR SOMERI BARBATI DIN MEDIUL URBAN ;NUMAR TOTAL SOMERI DIN MEDIUL RURAL ;NUMAR SOMERI FEMEI DIN MEDIUL RURAL ;NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
 ALBA;5310;2530;2780;1627;848;779;3683;1682;2001
 ARAD;3350;1675;1675;1173;617;556;2177;1058;1119
 ARGES;8642;4009;4633;1228;752;476;7414;3257;4157
 BACAU;4093;1893;2200;1346;713;633;2747;1180;1567
 BIHOR;5626;2807;2819;1529;938;591;4097;1869;2228
 BISTRITA-NASAUD;3955;1940;2015;1189;640;549;2766;1300;1466
 BOTOSANI;4841;2103;2738;1273;734;539;3568;1369;2199
 BRAILA;5301;2330;2971;1276;774;502;4025;1556;2469
 BRASOV;6850;3013;3837;1723;902;821;5127;2111;3016
 BUZAU;7093;3160;3933;1242;713;529;5851;2447;3404
 CALARASI;4540;2211;2329;1105;612;493;3435;1599;1836
 CARAS-SEVERIN;3207;1489;1718;1321;653;668;1886;836;1050
 CLUJ;5013;2487;2526;1847;1139;708;3166;1348;1818
 CONSTANTA;6299;3830;2469;2563;1822;741;3736;2008;1728
 COVASNA;4032;1858;2174;1162;637;525;2870;1221;1649
 DAMBOVITA;6200;2935;3265;850;471;379;5350;2464;2886
 DOLJ;20398;9332;11066;2743;1518;1225;17655;7814;9841
 GALATI;9208;3823;5385;1494;793;701;7714;3030;4684
 GIURGIU;1879;903;976;357;193;164;1522;710;812
 GORJ;4746;2471;2275;1461;907;554;3285;1564;1721
 HARGHITA;6551;3125;3426;1886;1006;880;4665;2119;2546
 HUNEDOARA;6795;3748;3047;4535;2573;1962;2260;1175;1085
 IALOMITA;4720;2128;2592;1153;571;582;3567;1557;2010
 IASI;10099;4473;5626;1414;759;655;8685;3714;4971
 ILFOV;821;503;318;206;130;76;615;373;242
 MARAMURES;4227;2119;2108;1973;1023;950;2254;1096;1158
 MEHEDINTI;7167;3117;4050;1182;654;528;5985;2463;3522
 MURES;6109;2837;3272;1723;928;795;4386;1909;2477
 NEAMT;8487;3599;4888;1261;712;549;7226;2887;4339
 OLT;7008;3051;3957;1201;686;515;5807;2365;3442
 PRAHOVA;6456;3316;3140;1935;1128;807;4521;2188;2333
 SALAJ;5568;2391;3177;845;462;383;4723;1929;2794
 SATU MARE;6588;3151;3437;1404;784;620;5184;2367;2817
 SIBIU;5608;2619;2989;1565;833;732;4043;1786;2257
 SUCEAVA;13086;5502;7584;3116;1455;1661;9970;4047;5923
 TELEORMAN;10381;4181;6200;1866;877;989;8515;3304;5211
 TIMIS;3610;1968;1642;1487;870;617;2123;1098;1025
 TULCEA;2817;1421;1396;709;414;295;2108;1007;1101
 VALCEA;3538;1763;1775;1347;714;633;2191;1049;1142
 VASLUI;10042;4162;5880;1376;717;659;8666;3445;5221
 VRANCEA;2385;1180;1205;494;274;220;1891;906;985
BUCURESTI;8702;5049;3653;8702;5049;3653;0;0;0
Total TARA ;261348;122202;139146;69889;38995;30894;191459;83207;108252
