JUDET; Numar total someri ; Numar total someri femei  ; Numar total someri barbati  ; Numar  someri indemnizati  ; Numar someri neindemnizati ;  Rata somajului (%)  ;  Rata somajului Feminina (%)  ;  Rata somajului Masculina (%)  ;
ALBA ; 5.310     ; 2.530     ; 2.780     ; 1.618     ; 3.692     ; 3,45     ; 3,57     ; 3,35     ;
ARAD; 3.350     ; 1.675     ; 1.675     ; 1.201     ; 2.149     ; 1,74     ; 1,99     ; 1,55     ;
ARGES; 8.642     ; 4.009     ; 4.633     ; 2.008     ; 6.634     ; 3,73     ; 3,71     ; 3,75     ;
BACAU; 4.093     ; 1.893     ; 2.200     ; 1.479     ; 2.614     ; 2,17     ; 2,33     ; 2,06     ;
BIHOR; 5.626     ; 2.807     ; 2.819     ; 2.039     ; 3.587     ; 2,38     ; 2,67     ; 2,15     ;
BISTRITA NASAUD; 3.955     ; 1.940     ; 2.015     ; 1.834     ; 2.121     ; 3,49     ; 3,95     ; 3,14     ;
BOTOSANI; 4.841     ; 2.103     ; 2.738     ; 1.028     ; 3.813     ; 4,40     ; 4,15     ; 4,62     ;
BRAILA; 5.301     ; 2.330     ; 2.971     ; 963     ; 4.338     ; 4,91     ; 4,72     ; 5,08     ;
BRASOV; 6.850     ; 3.013     ; 3.837     ; 973     ; 5.877     ; 2,65     ; 2,72     ; 2,60     ;
BUZAU; 7.093     ; 3.160     ; 3.933     ; 1.472     ; 5.621     ; 4,95     ; 4,88     ; 5,01     ;
CALARASI; 4.540     ; 2.211     ; 2.329     ; 548     ; 3.992     ; 5,95     ; 6,25     ; 5,69     ;
CARA?-SEVERIN; 3.207     ; 1.489     ; 1.718     ; 1.191     ; 2.016     ; 3,51     ; 3,90     ; 3,23     ;
CLUJ; 5.013     ; 2.487     ; 2.526     ; 1.325     ; 3.688     ; 1,40     ; 1,58     ; 1,25     ;
CONSTANTA; 6.299     ; 3.830     ; 2.469     ; 2.820     ; 3.479     ; 2,28     ; 3,14     ; 1,60     ;
COVASNA; 4.032     ; 1.858     ; 2.174     ; 734     ; 3.298     ; 5,09     ; 5,15     ; 5,04     ;
DAMBOVITA; 6.200     ; 2.935     ; 3.265     ; 1.302     ; 4.898     ; 3,80     ; 4,31     ; 3,44     ;
DOLJ; 20.398     ; 9.332     ; 11.066     ; 1.929     ; 18.469     ; 8,88     ; 9,15     ; 8,66     ;
GALATI; 9.208     ; 3.823     ; 5.385     ; 1.395     ; 7.813     ; 5,55     ; 5,04     ; 5,98     ;
GIURGIU; 1.879     ; 903     ; 976     ; 409     ; 1.470     ; 2,78     ; 3,01     ; 2,60     ;
GORJ; 4.746     ; 2.471     ; 2.275     ; 1.475     ; 3.271     ; 4,00     ; 4,58     ; 3,52     ;
HARGHITA; 6.551     ; 3.125     ; 3.426     ; 1.720     ; 4.831     ; 5,45     ; 6,15     ; 4,94     ;
HUNEDOARA; 6.795     ; 3.748     ; 3.047     ; 1.893     ; 4.902     ; 4,44     ; 5,22     ; 3,74     ;
IALOMITA; 4.720     ; 2.128     ; 2.592     ; 856     ; 3.864     ; 6,03     ; 6,17     ; 5,92     ;
IASI; 10.099     ; 4.473     ; 5.626     ; 1.184     ; 8.915     ; 3,65     ; 3,54     ; 3,75     ;
ILFOV; 821     ; 503     ; 318     ; 371     ; 450     ; 0,38     ; 0,55     ; 0,25     ;
MARAMURES; 4.227     ; 2.119     ; 2.108     ; 1.572     ; 2.655     ; 2,40     ; 2,67     ; 2,18     ;
MEHEDINTI; 7.167     ; 3.117     ; 4.050     ; 948     ; 6.219     ; 8,51     ; 8,27     ; 8,71     ;
MUN. BUC.; 8.702     ; 5.049     ; 3.653     ; 1.618     ; 7.084     ; 0,69     ; 0,78     ; 0,59     ;
MURES; 6.109     ; 2.837     ; 3.272     ; 1.401     ; 4.708     ; 2,92     ; 3,13     ; 2,76     ;
NEAMT; 8.487     ; 3.599     ; 4.888     ; 1.591     ; 6.896     ; 5,59     ; 5,36     ; 5,78     ;
OLT; 7.008     ; 3.051     ; 3.957     ; 1.114     ; 5.894     ; 5,38     ; 5,29     ; 5,45     ;
PRAHOVA; 6.456     ; 3.316     ; 3.140     ; 2.457     ; 3.999     ; 2,42     ; 2,96     ; 2,03     ;
SALAJ; 5.568     ; 2.391     ; 3.177     ; 892     ; 4.676     ; 6,16     ; 6,16     ; 6,16     ;
SATU MARE; 6.588     ; 3.151     ; 3.437     ; 885     ; 5.703     ; 5,14     ; 5,36     ; 4,95     ;
SIBIU; 5.608     ; 2.619     ; 2.989     ; 1.028     ; 4.580     ; 2,95     ; 3,17     ; 2,78     ;
SUCEAVA; 13.086     ; 5.502     ; 7.584     ; 3.202     ; 9.884     ; 6,68     ; 6,25     ; 7,03     ;
TELEORMAN; 10.381     ; 4.181     ; 6.200     ; 1.354     ; 9.027     ; 9,66     ; 8,38     ; 10,76     ;
