judet ;TOTAL ;Sub 25 ani;25 - 29 ani;30 - 39 ani;40 - 49 ani;50 - 55 ani;peste 55 ani
ALBA;5668;446;377;1174;1477;1064;1130
ARAD;3636;233;164;595;938;797;909
ARGES;8818;579;478;1671;2226;1804;2060
BACAU;3757;228;151;546;1005;847;980
BIHOR;5473;439;361;1112;1437;903;1221
BISTRITA NASAUD;3954;310;218;699;943;660;1124
BOTOSANI;4671;234;184;718;1213;1094;1228
BRAILA;5526;398;253;845;1447;932;1651
BRASOV;7136;836;571;1676;1716;1112;1225
BUZAU;6367;345;225;825;1529;1617;1826
CALARASI;4565;318;262;964;1201;866;954
CARAS-SEVERIN;3266;236;157;559;783;663;868
CLUJ;5241;575;346;1055;1300;956;1009
CONSTANTA;6447;330;229;961;1694;1138;2095
COVASNA;3911;601;308;810;981;641;570
DAMBOVITA;6426;475;364;1216;1619;1200;1552
DOLJ;20340;1681;1364;3993;5076;3920;4306
GALATI;10512;639;504;1596;2757;1975;3041
GIURGIU;1942;152;113;377;499;365;436
GORJ;4773;290;234;770;1185;1068;1226
HARGHITA;6424;979;489;1331;1545;1028;1052
HUNEDOARA;6711;617;473;1193;1624;1401;1403
IALOMITA;4714;300;202;805;1204;828;1375
IASI;9913;558;448;1564;2782;1729;2832
ILFOV;989;82;61;200;258;171;217
MARAMURES;4758;518;303;1014;1250;841;832
MEHEDINTI;7481;389;347;1157;2006;1614;1968
MUNICIPIUL BUCURESTI;7924;215;603;2063;1865;1653;1525
MURES;6580;838;518;1421;1621;897;1285
NEAMT;8947;552;380;1406;2439;1964;2206
OLT;8099;728;686;1335;1759;1729;1862
PRAHOVA;6300;377;278;1003;1660;1455;1527
SALAJ;5585;813;451;1268;1372;859;822
SATU-MARE;6857;956;515;1487;1828;1051;1020
SIBIU;5870;581;458;1420;1493;786;1132
SUCEAVA;13493;1405;885;2712;3629;1962;2900
TELEORMAN;10591;778;536;1834;2700;2101;2642
TIMIS;3369;145;151;594;917;615;947
TULCEA;2729;114;215;481;643;665;611
VALCEA;3628;211;189;573;952;818;885
VASLUI ;10146;362;313;1439;2855;2486;2691
VRANCEA;2332;151;99;388;527;539;628
TOTAL;265869;21014;15463;48850;67955;50814;61773
