JUDET  ;Total someri, din care: ;fara studii;invatamant primar ;invatamant gimnazial ;invatamant liceal;invatamant posticeal;invatamant profesional/arte si meserii;invatamant universitar
ALBA ;5578;396;1089;1720;1106;57;926;284
ARAD;3582;843;510;972;586;49;326;296
ARGES;8637;418;2428;2876;1155;79;1390;291
BACAU;3404;351;475;1177;525;37;628;211
BIHOR;5222;628;1472;1281;775;78;583;405
BISTRITA;3775;325;757;1189;739;42;541;182
BOTOSANI;4401;128;811;2026;545;39;742;110
BRAILA;5371;707;1292;2157;428;55;611;121
BRASOV;6971;797;2125;2454;666;62;527;340
BUZAU;6115;1556;213;2343;776;45;1057;125
CALARASI;4412;522;1550;1519;403;12;358;48
CARAS;3184;327;502;957;730;46;435;187
CLUJ;5084;869;958;1279;714;103;703;458
CONSTANTA;5623;821;1192;1461;1069;63;652;365
COVASNA;3853;553;1743;793;368;49;267;80
DAMBOVITA;6277;502;1729;2208;890;59;706;183
DOLJ;19853;1489;5785;7484;2572;95;2069;359
GALATI;10424;1206;2461;4217;944;61;1278;257
GIURGIU;1895;205;404;739;342;14;128;63
GORJ;4609;318;322;1378;1183;75;1072;261
HARGHITA;6220;1175;1820;1530;796;69;666;164
HUNEDOARA;6627;554;1010;1807;1629;127;917;583
IALOMITA;4510;525;1140;1794;367;24;601;59
IASI;9611;528;2091;3312;725;81;2533;341
ILFOV;957;89;206;230;201;8;90;133
MARAMURES;4660;328;940;1176;996;92;818;310
MEHEDINTI;7306;739;1335;3161;1081;61;800;129
MUN. BUC.;7823;9;39;1204;2948;172;1390;2061
MURES;6291;780;2330;1609;584;73;715;200
NEAMT;8947;632;1702;3390;921;57;2044;201
OLT;8006;750;946;3455;1225;66;1411;153
PRAHOVA;6411;380;1006;1951;1139;79;1443;413
SALAJ;5470;794;1785;1591;539;28;567;166
SATU M.;6681;1133;2647;2002;389;35;378;97
SIBIU;5756;623;2260;1402;550;39;591;291
SUCEAVA;12928;983;3289;4830;1497;119;1881;329
TELEORMAN;10483;1091;1296;5754;1122;45;1067;108
TIMIS;3283;529;340;824;640;44;421;485
TULCEA;2674;0;360;1246;550;0;437;81
VALCEA;3533;87;407;1030;865;67;853;224
VASLUI;10019;446;2110;4838;978;41;1535;71
VRANCEA;2272;111;544;841;367;49;265;95
Total general;258738;25247;57421;89207;36625;2496;36422;11320
